Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,is_monoproduct,is_dormant_3m,transaction_amount_per_txn,high_contact_low_activity,declining_amt_flag,declining_count_flag,Gender_F,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,tenure_band_early,tenure_band_established,tenure_band_growing,tenure_band_mature,utilization_band_high,utilization_band_low,utilization_band_medium,utilization_band_very_low
45.0,2.0,26.0,4.0,3.0,4.0,1438.3,0.0,1438.3,0.71,3749.0,77.0,0.604,0.0,0.0,1.0,48.688311688311686,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
36.0,2.0,25.0,5.0,3.0,2.0,1438.3,0.0,1438.3,0.579,2882.0,68.0,0.619,0.0,0.0,1.0,42.38235294117647,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
47.0,3.0,43.0,1.0,3.0,3.0,2781.0,1950.0,831.0,0.98,9331.0,93.0,0.5,0.701,1.0,1.0,100.33333333333333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
41.0,4.0,29.0,3.0,2.0,2.0,4573.0,0.0,4573.0,0.703,3776.0,70.0,0.944,0.0,0.0,0.0,53.94285714285714,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
34.0,2.0,36.0,1.0,2.0,3.0,1666.0,0.0,1666.0,0.713,2312.0,35.0,0.25,0.0,1.0,0.0,66.05714285714286,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
57.0,5.0,49.0,4.0,2.0,2.0,3301.0,2517.0,784.0,0.842,3939.0,69.0,1.226,0.762,0.0,0.0,57.08695652173913,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
46.0,3.0,39.0,2.0,1.0,3.0,21350.0,1724.0,19626.0,0.512,4878.0,78.0,0.444,0.081,0.0,0.0,62.53846153846154,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
35.0,1.0,23.0,3.0,3.0,1.0,1438.3,0.0,1438.3,0.751,3995.0,82.0,0.608,0.0,0.0,1.0,48.71951219512195,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45.0,5.0,36.0,6.0,1.0,4.0,34516.0,2038.0,32478.0,1.007,4067.0,75.0,1.206,0.059,0.0,0.0,54.22666666666667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
44.0,3.0,31.0,4.0,2.0,3.0,18056.0,940.0,17116.0,0.629,4473.0,72.0,0.6,0.052,0.0,0.0,62.125,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
51.0,2.0,37.0,5.0,1.0,4.0,8511.0,0.0,8511.0,0.88,3775.0,62.0,0.676,0.0,0.0,0.0,60.88709677419355,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
54.0,2.0,41.0,2.0,2.0,3.0,3881.0,2517.0,1364.0,0.815,2463.0,38.0,0.407,0.649,0.0,0.0,64.8157894736842,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
52.0,3.0,36.0,2.0,1.0,3.0,3240.0,0.0,3240.0,0.812,4803.0,83.0,0.804,0.0,0.0,0.0,57.86746987951807,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
35.0,3.0,28.0,4.0,3.0,2.0,14869.0,0.0,14869.0,1.624,2753.0,48.0,1.087,0.0,0.0,1.0,57.354166666666664,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
47.0,2.0,36.0,3.0,1.0,2.0,2363.0,494.0,1869.0,0.736,3887.0,71.0,0.651,0.209,0.0,0.0,54.74647887323944,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
54.0,1.0,36.0,4.0,2.0,4.0,3084.0,2517.0,567.0,0.651,1446.0,22.0,0.833,0.816,0.0,0.0,65.72727272727273,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
42.0,3.0,24.0,5.0,1.0,3.0,4568.0,2025.0,2543.0,0.849,4869.0,85.0,0.848,0.443,0.0,0.0,57.28235294117647,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
49.0,4.0,45.0,3.0,3.0,3.0,1757.0,1307.0,450.0,0.769,4750.0,72.0,0.756,0.744,0.0,1.0,65.97222222222223,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
53.0,1.0,42.0,4.0,1.0,4.0,8329.0,877.0,7452.0,0.432,1570.0,56.0,0.333,0.105,0.0,0.0,28.035714285714285,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
34.0,4.0,28.0,3.0,2.0,3.0,1438.3,0.0,1438.3,0.726,4626.0,86.0,0.792,0.0,0.0,0.0,53.7906976744186,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
52.0,1.0,40.0,2.0,1.0,1.0,4119.0,2517.0,1602.0,0.754,15215.0,121.0,0.862,0.611,0.0,0.0,125.74380165289256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
32.0,1.0,22.0,3.0,3.0,2.0,2642.0,2035.0,607.0,1.119,1761.0,42.0,0.909,0.77,0.0,1.0,41.92857142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48.0,3.0,37.0,5.0,2.0,1.0,34516.0,1416.0,33100.0,0.491,4026.0,65.0,0.512,0.041,0.0,0.0,61.93846153846154,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
47.0,4.0,43.0,4.0,3.0,4.0,4798.0,1017.0,3781.0,0.458,4225.0,79.0,0.681,0.212,0.0,1.0,53.48101265822785,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
49.0,3.0,40.0,3.0,4.0,2.0,8190.0,1716.0,6474.0,0.781,3529.0,84.0,0.787,0.21,0.0,1.0,42.01190476190476,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
42.0,3.0,32.0,6.0,2.0,2.0,1438.3,0.0,1438.3,0.66,1794.0,45.0,0.875,0.0,0.0,0.0,39.86666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
43.0,3.0,28.0,2.0,1.0,3.0,9959.0,734.0,9225.0,0.86,16732.0,116.0,0.812,0.074,0.0,0.0,144.24137931034483,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
39.0,2.0,19.0,4.0,3.0,3.0,6628.0,1735.0,4893.0,0.587,4050.0,89.0,0.935,0.262,0.0,1.0,45.50561797752809,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44.0,3.0,31.0,6.0,2.0,5.0,1438.3,688.0,750.3,0.976,4208.0,86.0,0.72,0.478,0.0,0.0,48.93023255813954,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
36.0,3.0,31.0,3.0,2.0,3.0,2937.0,2159.0,778.0,0.67,2511.0,51.0,0.7,0.735,0.0,0.0,49.23529411764706,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
55.0,2.0,35.0,4.0,4.0,4.0,1438.3,696.0,742.3,0.888,4307.0,76.0,0.9,0.484,0.0,1.0,56.671052631578945,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
54.0,4.0,36.0,3.0,5.0,3.0,1594.0,1411.0,183.0,0.817,1459.0,35.0,1.188,0.885,0.0,1.0,41.68571428571428,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
59.0,0.0,40.0,5.0,2.0,2.0,1845.0,1076.0,769.0,1.016,4319.0,76.0,0.551,0.583,0.0,0.0,56.828947368421055,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
