CLIENTNUM,churn_flag,Months_Inactive_12_mon,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Total_Relationship_Count,Contacts_Count_12_mon,Credit_Limit,Months_on_book,churn_probability,risk_decile,cluster_label
804424383,0,3,1904,40,0.099,3,2,10215.0,56,0.024665572,7,Lower-risk active
718813833,0,2,1052,18,0.0,5,2,10100.0,34,0.10206902,8,Lower-risk active
806624208,0,0,1045,38,0.285,6,0,4785.0,42,0.008374214,6,Lower-risk active
778348233,0,2,1038,25,0.658,3,3,2753.0,33,0.07070503,8,Lower-risk active
712991808,0,5,1596,26,0.69,2,1,2451.0,48,0.0025135668,4,Mono-product exposed
709029408,0,1,1589,24,0.282,4,2,8923.0,36,0.0004633927,1,Lower-risk active
788658483,0,2,1411,28,0.562,5,3,2650.0,38,0.0006812094,1,Lower-risk active
787937058,0,2,1291,24,0.135,6,2,12555.0,49,0.001109168,2,Lower-risk active
715318008,0,2,1407,43,0.544,4,1,3520.0,36,0.018454153,7,Lower-risk active
713962233,0,2,1877,37,0.757,6,3,3035.0,36,0.00094628154,2,Lower-risk active
785432733,0,3,966,22,0.0,2,3,15433.0,36,0.9883066,10,Dormant high-risk
715190283,0,3,1464,28,0.241,3,2,3672.0,49,0.01731282,7,Lower-risk active
708300483,1,4,704,16,0.077,5,3,7882.0,56,0.9941202,10,Dormant high-risk
827111283,0,2,1109,28,0.018,2,2,32426.0,41,0.9708412,9,Mono-product exposed
758551608,0,1,1347,28,0.355,4,0,6205.0,44,0.0011704721,2,Lower-risk active
773146383,0,2,1756,33,0.145,3,3,17304.0,43,0.018227221,7,Lower-risk active
778493808,0,2,1756,32,0.0,5,1,3906.0,37,0.0038103252,5,Lower-risk active
720572508,0,3,1042,23,0.209,2,3,9830.0,28,0.48807913,9,Mono-product exposed
712661433,0,2,1444,28,0.0,3,3,34516.0,30,0.013606754,7,Lower-risk active
789172683,0,2,1741,27,0.626,6,0,2283.0,45,0.0008761127,2,Lower-risk active
738406533,0,2,1719,27,0.793,3,2,2548.0,52,0.00089882495,2,Lower-risk active
799723908,0,3,1217,27,0.074,4,3,19458.0,40,0.005906291,6,Lower-risk active
771490833,0,1,1140,40,0.259,5,1,4745.0,40,0.0034233236,4,Lower-risk active
720756708,0,3,1878,30,0.591,6,2,2622.0,41,0.0008263745,1,Lower-risk active
779471883,1,3,705,19,0.562,2,1,1438.3,40,0.9966163,10,Dormant high-risk
711525033,0,4,1946,38,0.687,3,2,3171.0,54,0.0024103308,4,Lower-risk active
712813458,0,2,1414,35,0.127,4,0,19763.0,36,0.03755826,7,Lower-risk active
714374133,1,3,602,15,0.0,1,3,15769.0,36,0.999703,10,Dormant high-risk
717891558,0,4,1052,32,0.667,6,2,3298.0,36,0.07464626,8,Lower-risk active
716632758,0,2,1295,40,0.843,2,0,2802.0,36,0.068762004,8,Mono-product exposed
768563658,0,2,1424,29,0.422,4,3,4458.0,50,0.0003811549,1,Lower-risk active
711427458,0,1,1359,25,0.156,4,2,6273.0,35,0.00029393108,1,Lower-risk active
714091983,0,4,1168,27,0.525,4,3,3336.0,34,0.0052700005,5,Lower-risk active
787584108,0,2,1097,33,0.587,4,3,3436.0,47,0.053640183,8,Lower-risk active
712030833,1,4,691,15,0.0,2,4,34516.0,35,0.99911326,10,Dormant high-risk
711481533,0,3,1316,28,0.211,5,3,5926.0,33,0.0014101268,3,Lower-risk active
710082708,0,4,1276,26,0.088,2,2,23957.0,32,0.25155425,8,Mono-product exposed
708155733,0,2,1289,23,0.111,4,2,14734.0,44,0.0008004183,1,Lower-risk active
788979258,0,1,1293,32,0.044,4,4,34516.0,38,0.011687132,6,Lower-risk active
807986133,0,3,1353,35,0.276,5,3,6584.0,52,0.007908754,6,Lower-risk active
788730933,0,3,1132,28,0.704,6,3,2084.0,20,0.13766564,8,Lower-risk active
711314058,0,2,1670,17,0.656,2,2,1687.0,32,0.0065692673,6,Mono-product exposed
717975333,0,2,837,15,0.053,6,2,25300.0,38,0.08874507,8,Lower-risk active
715971108,0,2,1550,41,0.051,3,3,34516.0,42,0.0019319741,3,Lower-risk active
720096558,0,3,1540,36,0.467,5,3,2216.0,42,0.05648996,8,Lower-risk active
719580033,0,2,1256,21,0.698,4,3,2910.0,43,0.020447599,7,Lower-risk active
820582308,0,2,1394,35,0.067,6,2,22913.0,37,0.09685445,8,Lower-risk active
789973308,0,3,1341,24,0.079,3,3,24312.0,35,0.00097186735,2,Lower-risk active
712876233,0,3,1289,33,0.287,5,2,5272.0,36,0.024417218,7,Lower-risk active
804595158,0,4,1112,23,0.36,6,2,7000.0,36,0.017686682,7,Lower-risk active
714826758,0,4,2339,57,0.256,4,2,7038.0,29,0.025913859,7,Lower-risk active
779058108,0,1,1468,23,0.719,6,2,2536.0,30,0.0049309074,5,Lower-risk active
710790258,0,3,1334,35,0.066,6,2,28904.0,38,0.017229902,7,Lower-risk active
715623483,0,4,1457,41,0.198,4,0,8567.0,37,9.5506584e-05,1,Lower-risk active
715156383,0,2,1603,29,0.044,6,2,34516.0,36,0.013364827,7,Lower-risk active
711013983,1,4,615,12,0.0,2,3,2158.0,45,0.99748707,10,Dormant high-risk
755420433,0,3,1068,20,0.14,2,3,10133.0,52,0.3141451,9,Mono-product exposed
794543958,0,4,1590,27,0.035,5,2,34516.0,35,0.0004804488,1,Lower-risk active
716396358,0,3,1531,35,0.619,5,0,3085.0,47,0.0018215196,3,Lower-risk active
715398033,0,2,1212,31,0.108,4,1,19040.0,35,0.004355007,5,Lower-risk active
711743883,0,2,1237,32,0.0,5,3,4026.0,35,0.5976313,9,Contacted but fragile
719720058,0,3,1413,14,0.066,4,1,12756.0,31,0.00046030787,1,Lower-risk active
778992108,0,3,1516,29,0.0,5,3,5266.0,45,0.0012918771,2,Lower-risk active
717539808,0,2,1276,21,0.0,3,2,9930.0,36,0.030922623,7,Lower-risk active
714070758,0,3,1564,35,0.062,4,0,31302.0,38,0.00041189085,1,Lower-risk active
714107958,0,4,1465,34,0.0,4,3,6576.0,36,0.4224271,9,Lower-risk active
789140283,0,4,1286,29,0.765,5,1,2664.0,42,0.002893908,4,Lower-risk active
715550508,0,1,1312,20,0.963,5,2,2535.0,28,0.00025085508,1,Lower-risk active
719712633,0,4,1673,32,0.524,6,3,1709.0,52,0.002537239,4,Lower-risk active
772629333,0,4,1313,30,0.347,5,2,3454.0,35,0.037428018,7,Lower-risk active
720336708,0,3,1609,42,0.45,5,2,3789.0,35,0.00465437,5,Lower-risk active
802013583,0,2,1158,19,0.232,3,0,9689.0,50,0.0024273759,4,Lower-risk active
711887583,1,3,836,18,0.299,2,3,5449.0,37,0.9941825,10,Dormant high-risk
714778833,0,4,1289,22,0.085,4,0,23032.0,43,0.0012590716,2,Lower-risk active
713843283,0,3,1487,26,0.059,5,3,34516.0,34,0.01334567,7,Lower-risk active
779155158,0,2,1259,33,0.43,6,2,2940.0,34,0.008651033,6,Lower-risk active
721091583,0,3,1298,15,0.62,3,3,3031.0,32,0.0097284345,6,Lower-risk active
713572683,0,3,1226,34,0.0,3,0,1862.0,25,0.11264599,8,Lower-risk active
716657058,0,3,1566,37,0.111,2,3,8358.0,33,0.79089206,9,Dormant high-risk
779509983,0,1,1022,21,0.027,6,2,34516.0,36,0.028830234,7,Lower-risk active
717929133,0,2,1235,30,0.169,5,3,14450.0,36,0.0050727734,5,Lower-risk active
808284783,0,0,1951,44,0.0,6,0,1438.3,56,0.10289598,8,Lower-risk active
708476808,0,3,1047,31,0.058,6,2,33791.0,36,0.013705074,7,Lower-risk active
710916408,0,3,1342,32,0.223,4,0,8466.0,39,0.004423483,5,Lower-risk active
708492558,0,3,1107,21,0.057,5,3,15088.0,36,0.0147791505,7,Lower-risk active
799825758,0,1,1251,35,0.513,5,2,3263.0,36,0.0055083307,5,Lower-risk active
718619883,0,2,1305,24,0.473,2,2,1494.0,36,0.0026171259,4,Mono-product exposed
711844758,0,1,1388,37,0.095,6,0,13551.0,35,0.00017782142,1,Lower-risk active
714798783,0,2,1235,18,0.047,6,2,18886.0,36,0.00038895555,1,Lower-risk active
826762908,0,2,2089,36,0.106,3,0,11976.0,48,0.020143146,7,Lower-risk active
771894558,0,1,1626,25,0.156,4,4,9964.0,39,0.0006628007,1,Lower-risk active
721074183,0,6,1111,24,0.05,4,3,24159.0,36,0.013424496,7,Lower-risk active
715259583,0,2,1553,38,0.355,3,3,5362.0,44,0.012126526,6,Lower-risk active
718414008,0,2,1064,13,0.03,3,2,34516.0,36,0.1967096,8,Lower-risk active
719666283,0,1,1243,29,0.615,4,0,3174.0,36,0.00075396546,1,Lower-risk active
714877233,0,2,1659,38,0.15,3,2,12262.0,47,0.00032735607,1,Lower-risk active
785387883,0,3,1594,47,0.407,4,3,3788.0,41,0.141905,8,Lower-risk active
771075258,0,3,1268,42,0.044,2,2,34516.0,42,0.38600457,9,Mono-product exposed
711318033,0,2,1304,24,0.0,4,2,2926.0,36,0.023402201,7,Lower-risk active
783554958,0,1,1368,30,0.0,6,0,32090.0,52,0.03610292,7,Lower-risk active
720201033,1,3,720,23,0.191,3,2,11669.0,41,0.9431497,9,Dormant high-risk
718039683,0,1,1521,29,0.096,3,2,13532.0,45,0.0012248666,2,Lower-risk active
710806083,0,2,1137,30,0.176,4,2,11888.0,36,0.012320697,6,Lower-risk active
714752208,0,1,978,16,0.83,5,2,2393.0,36,0.20571862,8,Lower-risk active
822063408,0,1,1221,16,0.412,5,2,6111.0,39,0.0038253267,5,Lower-risk active
714490308,0,2,1565,28,0.086,3,3,19270.0,46,0.00089776993,2,Lower-risk active
713356833,0,1,1578,34,0.678,3,4,3710.0,43,0.006795739,6,Lower-risk active
711402333,0,1,1493,32,0.246,2,3,3235.0,37,0.46003976,9,Mono-product exposed
708296883,0,1,1178,27,0.067,3,0,11749.0,38,0.0016783862,3,Lower-risk active
719154483,0,3,991,26,0.271,5,2,7753.0,36,0.23854566,8,Lower-risk active
717721458,0,1,2560,42,0.114,5,0,10408.0,40,0.001136281,2,Lower-risk active
711112683,0,2,1657,29,0.395,6,3,3967.0,36,0.0005375963,1,Lower-risk active
715674483,0,2,1204,19,0.406,4,2,6205.0,27,0.025225097,7,Lower-risk active
789322833,1,3,673,18,0.0,1,3,8025.0,38,0.99813384,10,Dormant high-risk
789968058,0,2,1131,18,0.258,6,3,9036.0,42,0.017729381,7,Lower-risk active
709919283,0,3,1576,25,0.169,2,2,14926.0,34,0.007004661,6,Mono-product exposed
718744008,0,2,1217,20,0.178,3,3,6335.0,36,0.038073048,7,Lower-risk active
767712558,1,3,530,10,0.0,2,3,14979.0,53,0.9970829,10,Dormant high-risk
712950783,1,2,739,16,0.0,3,3,2732.0,38,0.9982193,10,Contacted but fragile
716104983,0,3,1617,31,0.941,6,2,2250.0,32,0.0007849812,1,Lower-risk active
818839983,0,2,1592,34,0.141,3,0,10916.0,50,0.00022126781,1,Lower-risk active
772288758,0,1,1343,30,0.23,4,3,5349.0,36,0.0013223675,2,Lower-risk active
712350858,0,1,1303,39,0.118,4,3,9366.0,24,0.005581857,5,Lower-risk active
711009708,0,1,1351,22,0.0,5,0,21617.0,28,0.019484468,7,Lower-risk active
712720158,0,2,1910,32,0.119,5,3,13860.0,56,0.0011877517,2,Lower-risk active
712215258,0,2,1298,22,0.0,2,3,18386.0,31,0.82465166,9,Contacted but fragile
773827008,0,2,1087,29,0.64,6,2,2405.0,41,0.0024718484,4,Lower-risk active
795232683,0,2,1439,26,0.432,4,3,2154.0,47,0.00093077443,2,Lower-risk active
713786508,0,3,1238,28,0.0,3,3,2038.0,36,0.45105416,9,Lower-risk active
713539833,0,1,1716,29,0.0,6,3,8135.0,38,0.009045834,6,Lower-risk active
712454058,0,1,1099,27,0.066,6,3,9364.0,38,0.13269433,8,Lower-risk active
718759833,0,3,1058,24,0.0,4,2,32643.0,35,0.019799314,7,Lower-risk active
718803333,0,3,1285,29,0.612,2,1,3195.0,34,0.25725743,8,Mono-product exposed
720253908,0,2,1651,28,0.359,5,1,2852.0,43,0.0015992649,3,Lower-risk active
714133158,0,3,1152,31,0.309,2,3,4224.0,36,0.6816797,9,Dormant high-risk
713187033,0,2,1767,38,0.101,3,2,20459.0,36,0.00086572074,2,Lower-risk active
714791208,0,5,1039,24,0.607,6,3,3482.0,41,0.16837,8,Lower-risk active
772426383,0,2,1130,28,0.512,5,3,3065.0,40,0.002490136,4,Lower-risk active
710975883,0,1,1645,30,0.806,3,2,2185.0,43,0.05113156,8,Lower-risk active
714264408,0,1,1413,29,0.463,4,0,1611.0,36,0.0018835767,3,Lower-risk active
715827858,0,3,1218,23,0.77,3,3,2822.0,47,0.0013297247,2,Lower-risk active
713741358,1,3,597,17,0.076,6,3,32975.0,33,0.949319,9,Dormant high-risk
709531908,0,2,2184,53,0.0,5,2,1438.3,47,0.542538,9,Lower-risk active
716493408,0,3,1592,37,0.108,4,3,15875.0,36,0.0034210146,4,Lower-risk active
714141108,0,3,1388,28,0.133,6,3,6703.0,45,0.021186858,7,Lower-risk active
708953883,1,2,757,20,0.0,2,1,3212.0,36,0.9987042,10,Mono-product exposed
712608783,0,1,1504,34,0.037,3,3,34516.0,45,0.008704848,6,Lower-risk active
820353558,0,1,1503,34,0.146,4,2,9797.0,36,0.0042675617,5,Lower-risk active
714964758,0,2,1105,28,0.171,5,2,10400.0,36,0.014837767,7,Lower-risk active
716264358,0,1,2398,47,0.069,2,2,26792.0,42,0.020937428,7,Mono-product exposed
717296808,0,3,1661,32,0.837,4,2,3006.0,56,0.0014988789,3,Lower-risk active
712977183,0,3,1421,22,0.055,6,0,19482.0,36,0.00055352045,1,Lower-risk active
710829108,0,2,999,28,0.294,4,3,3356.0,36,0.056344252,8,Lower-risk active
779562633,0,2,1387,18,0.39,3,1,5771.0,34,0.0006825579,1,Lower-risk active
715315833,0,2,1243,24,0.19,6,3,11106.0,36,0.002557082,4,Lower-risk active
815500983,0,3,1860,36,0.692,5,0,2890.0,54,0.0005341753,1,Lower-risk active
719360583,0,2,1502,25,0.503,6,2,3380.0,45,0.0008350891,2,Lower-risk active
709701558,0,1,1460,50,0.059,2,2,21331.0,36,0.02022723,7,Mono-product exposed
721148358,0,2,1348,27,0.0,6,1,12860.0,38,0.27266425,9,Lower-risk active
779862408,0,1,1087,33,0.074,3,0,6278.0,33,0.034244135,7,Lower-risk active
812627208,0,1,1226,33,0.513,5,3,1438.3,55,0.050971236,8,Lower-risk active
711033408,0,1,1230,28,0.174,5,2,9355.0,36,0.0009492687,2,Lower-risk active
779956608,0,1,1555,32,0.0,6,3,20758.0,31,0.06934956,8,Lower-risk active
780376683,0,3,1827,24,0.135,5,1,14612.0,47,0.0006717812,1,Lower-risk active
717912483,0,2,1376,35,0.0,5,0,27259.0,27,0.08484701,8,Lower-risk active
714454758,0,2,1771,37,0.251,4,3,6347.0,47,0.0116731115,6,Lower-risk active
780466533,0,3,1873,52,0.078,3,0,21592.0,41,0.0037413803,5,Lower-risk active
715735233,0,1,1679,42,0.463,5,1,3449.0,44,0.0037869376,5,Lower-risk active
720476733,0,1,1002,22,0.133,2,2,6028.0,34,0.8366948,9,Mono-product exposed
715872333,0,2,1344,21,0.11,3,3,18214.0,36,0.0041993116,5,Lower-risk active
712375758,0,3,1461,42,0.087,3,1,16393.0,43,0.0016695275,3,Lower-risk active
708868233,1,3,760,21,0.626,1,2,1438.3,52,0.9950282,10,Dormant high-risk
718030083,0,1,1428,22,0.214,4,2,7871.0,36,7.641846e-05,1,Lower-risk active
720707283,0,3,1777,42,0.164,5,0,5288.0,36,0.016558712,7,Lower-risk active
771698658,0,5,1302,27,0.176,4,3,11376.0,32,0.0055180904,5,Lower-risk active
748326258,0,5,1483,41,0.133,4,3,12302.0,41,0.0148077905,7,Lower-risk active
770817783,0,2,1060,27,0.049,3,1,34516.0,33,0.124355234,8,Lower-risk active
779353083,0,2,1330,32,0.043,4,2,34516.0,32,0.005864393,6,Lower-risk active
711441333,0,2,1229,27,0.15,3,2,10514.0,35,0.007905253,6,Lower-risk active
719808558,1,4,886,27,0.0,2,3,1438.3,43,0.9992599,10,Dormant high-risk
711551958,1,3,844,24,0.0,3,3,1438.3,46,0.9963366,10,Dormant high-risk
809164083,0,1,1450,37,0.679,2,2,2619.0,56,0.0041601136,5,Mono-product exposed
820596183,0,3,2311,48,0.098,2,0,24407.0,53,0.04860593,8,Mono-product exposed
715999608,0,1,1378,26,0.694,4,2,2377.0,36,0.0004420427,1,Lower-risk active
710565408,0,2,1033,26,0.039,3,3,34516.0,40,0.025303865,7,Lower-risk active
805543158,0,3,1523,40,0.199,5,3,11086.0,47,0.004068018,5,Lower-risk active
709752183,0,2,1374,37,0.22,4,2,11432.0,36,0.018724803,7,Lower-risk active
716479233,0,3,1080,21,0.13,5,2,13258.0,36,0.013234112,7,Lower-risk active
713837058,0,2,1234,24,0.76,3,3,2571.0,36,0.018591804,7,Lower-risk active
718876683,0,2,1600,32,0.202,5,0,5781.0,31,0.018521389,7,Lower-risk active
770746908,0,1,1155,32,0.319,5,2,7872.0,30,0.01349109,7,Lower-risk active
794843883,0,1,1353,33,0.035,6,2,34516.0,35,0.0014162065,3,Lower-risk active
803043933,0,1,1546,25,0.165,4,3,11127.0,38,0.0004946777,1,Lower-risk active
758076408,0,1,1590,43,0.863,2,3,1857.0,43,0.32800537,9,Mono-product exposed
714606558,0,1,1448,22,0.665,5,0,1913.0,36,0.00019925913,1,Lower-risk active
778425408,0,3,1271,24,0.598,5,0,3839.0,24,0.0033208332,4,Lower-risk active
714171108,0,2,1223,20,0.539,6,3,2115.0,39,0.021802364,7,Lower-risk active
719662458,0,2,1117,29,0.472,5,2,1438.3,27,0.020995611,7,Lower-risk active
713137233,0,3,994,24,0.064,4,0,27756.0,28,0.055962674,8,Lower-risk active
769425858,0,1,1468,26,0.0,4,2,1438.3,32,0.05218769,8,Lower-risk active
711297483,0,4,1658,38,0.16,6,2,13878.0,34,0.0624235,8,Lower-risk active
788900883,0,1,1368,38,0.42,3,3,3106.0,36,0.03074112,7,Lower-risk active
758348808,0,3,1218,18,0.048,4,3,34516.0,44,0.004610176,5,Lower-risk active
772336458,1,4,702,12,0.713,4,3,1438.3,50,0.9558177,9,Dormant high-risk
708711483,0,3,1516,21,0.092,2,0,18871.0,46,0.0004221401,1,Mono-product exposed
717906783,0,2,1310,26,0.336,5,2,5207.0,29,0.00067346264,1,Lower-risk active
719437908,0,2,1767,50,0.092,6,2,17965.0,36,0.0021012512,3,Lower-risk active
769433508,0,3,933,25,0.666,6,3,2733.0,37,0.088349976,8,Lower-risk active
790096533,0,3,1512,27,0.147,4,2,8863.0,48,0.00011557399,1,Lower-risk active
720997383,1,3,829,17,0.987,2,3,1857.0,36,0.9973749,10,Dormant high-risk
787541883,0,3,1120,27,0.0,3,3,34516.0,33,0.839981,9,Dormant high-risk
709930758,0,3,1506,33,0.11,5,3,11107.0,30,0.008515058,6,Lower-risk active
789830058,0,1,1384,36,0.073,4,2,21573.0,34,0.0005634092,1,Lower-risk active
710299608,1,3,817,30,0.88,2,3,2859.0,33,0.99792707,10,Dormant high-risk
710741208,0,2,2094,25,0.28,4,2,5269.0,36,0.016068997,7,Lower-risk active
821797008,1,2,815,21,0.0,2,3,1438.3,45,0.9990376,10,Contacted but fragile
708874533,1,3,510,24,0.0,1,2,3387.0,36,0.998744,10,Dormant high-risk
715341858,0,2,1377,49,0.65,6,3,1982.0,46,0.0053424733,5,Lower-risk active
793636308,0,2,1193,33,0.355,2,2,4645.0,43,0.23107205,8,Mono-product exposed
713779908,0,3,1287,36,0.761,6,2,2189.0,36,0.11971978,8,Lower-risk active
712125258,1,3,701,19,0.0,3,3,2442.0,30,0.99583733,10,Dormant high-risk
709703433,0,1,1770,25,0.072,4,2,21304.0,38,0.001447679,3,Lower-risk active
721022433,0,1,1409,35,0.327,5,2,7577.0,36,0.06122815,8,Lower-risk active
710103558,0,1,1354,28,0.459,4,2,3234.0,31,0.0018038532,3,Lower-risk active
715952883,0,3,1765,34,0.252,5,2,4469.0,36,0.00022192045,1,Lower-risk active
719731458,0,3,1192,27,0.244,6,4,2910.0,46,0.07602758,8,Lower-risk active
772390908,1,4,687,17,0.291,2,3,3616.0,48,0.996572,10,Dormant high-risk
787348608,0,2,1227,15,0.46,3,3,3252.0,56,0.0063817864,6,Lower-risk active
709485033,0,3,1737,26,0.489,4,3,2358.0,36,0.0040467856,5,Lower-risk active
715432608,0,1,1348,34,0.043,4,0,22322.0,36,0.00054977543,1,Lower-risk active
799471833,0,2,1435,38,0.482,4,2,3133.0,39,0.018021403,7,Lower-risk active
714187533,0,3,1321,28,0.24,2,0,3540.0,35,0.17228013,8,Mono-product exposed
779656908,0,3,1479,29,0.197,6,2,6990.0,23,0.00682272,6,Lower-risk active
788950158,0,2,1283,39,0.048,2,3,34516.0,22,0.08171949,8,Mono-product exposed
778867533,1,4,689,23,0.0,1,1,1438.3,40,0.9991309,10,Dormant high-risk
710620383,0,3,965,17,0.048,6,2,24396.0,35,0.035944175,7,Lower-risk active
778661358,0,3,1541,40,0.866,2,2,2474.0,36,0.022924628,7,Mono-product exposed
789483333,0,1,1258,23,0.152,5,3,5214.0,32,0.002544218,4,Lower-risk active
809855808,0,2,1339,20,0.317,5,2,5207.0,46,0.009625777,6,Lower-risk active
718464258,0,2,1007,22,0.114,2,2,9512.0,25,0.45792145,9,Mono-product exposed
708528483,0,3,1387,33,0.762,6,2,3187.0,23,0.008369951,6,Lower-risk active
771809733,1,3,960,18,0.0,1,3,3353.0,53,0.99851924,10,Dormant high-risk
719942883,0,3,1119,18,0.626,3,3,2290.0,38,0.008712769,6,Lower-risk active
807226683,0,1,1642,41,0.211,6,3,5279.0,43,0.03605997,7,Lower-risk active
717806133,0,3,1382,31,0.0,5,0,23603.0,29,0.008921391,6,Lower-risk active
720615708,0,2,1232,32,0.0,6,2,2601.0,45,0.029491512,7,Lower-risk active
714511758,0,3,1542,16,0.162,4,0,6363.0,40,0.00067343464,1,Lower-risk active
715050408,0,3,1094,32,0.196,4,3,8029.0,36,0.4688684,9,Lower-risk active
721132233,0,2,1217,30,0.734,2,2,2410.0,31,0.045153588,8,Mono-product exposed
719211558,1,1,744,18,0.0,1,2,3401.0,36,0.9968809,10,Mono-product exposed
712069008,0,2,1614,33,0.446,4,0,2260.0,23,0.003950869,5,Lower-risk active
715996983,0,2,1747,31,0.14,5,2,17682.0,30,0.0020601086,3,Lower-risk active
773466258,0,1,1144,22,0.262,3,3,4206.0,42,0.006068496,6,Lower-risk active
798983508,0,3,1575,34,0.042,4,2,34516.0,37,0.00035897747,1,Lower-risk active
719117433,0,3,1463,24,0.094,4,0,23018.0,36,0.0004404408,1,Lower-risk active
716451183,0,2,1706,21,0.308,5,3,5556.0,44,0.0007979126,1,Lower-risk active
718621608,1,3,909,14,0.0,3,1,6094.0,44,0.99653244,10,Dormant high-risk
715085733,0,1,2434,33,0.68,3,2,2939.0,52,0.003900436,5,Lower-risk active
788977833,0,1,1876,41,0.238,2,0,5362.0,48,0.019278683,7,Mono-product exposed
720272958,1,3,1000,25,0.0,3,3,27126.0,36,0.9627146,9,Dormant high-risk
708421833,0,3,1139,30,0.753,6,2,3342.0,36,0.06000965,8,Lower-risk active
709173108,1,2,799,21,0.877,6,2,2532.0,40,0.92771167,9,Lower-risk active
709879458,0,2,1881,45,0.724,2,3,1900.0,46,0.66615313,9,Contacted but fragile
715120608,0,3,1273,27,0.117,2,2,14546.0,37,0.2423505,8,Mono-product exposed
770632758,0,3,1328,33,0.638,2,2,2521.0,36,0.33668804,9,Mono-product exposed
779078733,0,4,1579,36,0.102,3,3,16427.0,36,0.00834208,6,Lower-risk active
771742533,0,1,937,28,0.131,5,2,13068.0,36,0.22765945,8,Lower-risk active
720250158,0,3,1749,37,0.078,6,0,23218.0,33,0.00015358729,1,Lower-risk active
716458983,0,1,1424,29,0.255,5,3,3281.0,36,0.00031180054,1,Lower-risk active
713747733,0,3,2011,41,0.716,5,2,3096.0,47,0.06668095,8,Lower-risk active
712270158,0,2,1208,31,0.609,5,3,2052.0,52,0.0072879912,6,Lower-risk active
789562383,0,3,1259,24,0.405,2,0,1438.3,30,0.13705564,8,Mono-product exposed
754897008,0,3,1319,26,0.15,2,2,9432.0,39,0.5314904,9,Mono-product exposed
819700533,0,2,949,27,0.154,5,3,14938.0,45,0.19936076,8,Lower-risk active
712890408,0,3,1338,30,0.605,5,2,2221.0,36,0.00082542974,1,Lower-risk active
720248208,0,3,1554,26,0.275,6,0,5731.0,37,0.012771013,6,Lower-risk active
779749908,0,2,1350,32,0.06,2,3,34516.0,33,0.43523955,9,Mono-product exposed
717401883,0,2,1694,44,0.162,5,2,6985.0,22,0.0019861762,3,Lower-risk active
721509558,0,3,1678,40,0.07,3,0,24221.0,42,0.010244381,6,Lower-risk active
710572458,0,1,2069,43,0.0,4,1,15439.0,24,0.53806114,9,Lower-risk active
714576183,0,3,1222,23,0.094,6,2,21637.0,36,0.014034724,7,Lower-risk active
721425558,0,3,1536,37,0.0,2,2,14543.0,37,0.8806353,9,Dormant high-risk
